sim,gate,omp,ctrl,tgt,qubits,gate_name,t_avg,t_ratio,kernel
LightningOMPBinStream,CNOT,1,0,19,30,CNOT,725.179,1/1000,AVX512
LightningOMPBinStream,CNOT,4,0,19,30,CNOT,193.353,1/1000,AVX512
LightningOMPBinStream,CNOT,16,0,19,30,CNOT,77.7359,1/1000,AVX512
LightningOMPBinStream,CNOT,32,0,19,30,CNOT,75.7976,1/1000,AVX512
LightningOMPBinStream,CNOT,1,0,20,30,CNOT,738.034,1/1000,AVX512
LightningOMPBinStream,CNOT,4,0,20,30,CNOT,195.59,1/1000,AVX512
LightningOMPBinStream,CNOT,16,0,20,30,CNOT,78.6046,1/1000,AVX512
LightningOMPBinStream,CNOT,32,0,20,30,CNOT,76.8413,1/1000,AVX512
LightningOMPBinStream,CNOT,1,0,21,30,CNOT,739.964,1/1000,AVX512
LightningOMPBinStream,CNOT,4,0,21,30,CNOT,197.551,1/1000,AVX512
LightningOMPBinStream,CNOT,16,0,21,30,CNOT,79.5788,1/1000,AVX512
LightningOMPBinStream,CNOT,32,0,21,30,CNOT,76.691,1/1000,AVX512
LightningOMPBinStream,CNOT,1,0,22,30,CNOT,844.783,1/1000,AVX512
LightningOMPBinStream,CNOT,4,0,22,30,CNOT,221.218,1/1000,AVX512
LightningOMPBinStream,CNOT,16,0,22,30,CNOT,83.6683,1/1000,AVX512
LightningOMPBinStream,CNOT,32,0,22,30,CNOT,75.9852,1/1000,AVX512
LightningOMPBinStream,CNOT,1,0,23,30,CNOT,829.224,1/1000,AVX512
LightningOMPBinStream,CNOT,4,0,23,30,CNOT,215.653,1/1000,AVX512
LightningOMPBinStream,CNOT,16,0,23,30,CNOT,83.8668,1/1000,AVX512
LightningOMPBinStream,CNOT,32,0,23,30,CNOT,75.5208,1/1000,AVX512
LightningOMPBinStream,CNOT,1,0,24,30,CNOT,838.512,1/1000,AVX512
LightningOMPBinStream,CNOT,4,0,24,30,CNOT,222.924,1/1000,AVX512
LightningOMPBinStream,CNOT,16,0,24,30,CNOT,82.0311,1/1000,AVX512
LightningOMPBinStream,CNOT,32,0,24,30,CNOT,74.4858,1/1000,AVX512
LightningOMPBinStream,CNOT,1,0,25,30,CNOT,853.439,1/1000,AVX512
LightningOMPBinStream,CNOT,4,0,25,30,CNOT,221.151,1/1000,AVX512
LightningOMPBinStream,CNOT,16,0,25,30,CNOT,81.9319,1/1000,AVX512
LightningOMPBinStream,CNOT,32,0,25,30,CNOT,74.4216,1/1000,AVX512
LightningOMPBinStream,CNOT,1,0,26,30,CNOT,812.63,1/1000,AVX512
LightningOMPBinStream,CNOT,4,0,26,30,CNOT,218.998,1/1000,AVX512
LightningOMPBinStream,CNOT,16,0,26,30,CNOT,81.9253,1/1000,AVX512
LightningOMPBinStream,CNOT,32,0,26,30,CNOT,74.4724,1/1000,AVX512
LightningOMPBinStream,CNOT,1,0,27,30,CNOT,793.799,1/1000,AVX512
LightningOMPBinStream,CNOT,4,0,27,30,CNOT,210.298,1/1000,AVX512
LightningOMPBinStream,CNOT,16,0,27,30,CNOT,82.2065,1/1000,AVX512
LightningOMPBinStream,CNOT,32,0,27,30,CNOT,75.0437,1/1000,AVX512
LightningOMPBinStream,CNOT,1,0,28,30,CNOT,808.278,1/1000,AVX512
LightningOMPBinStream,CNOT,4,0,28,30,CNOT,217.05,1/1000,AVX512
LightningOMPBinStream,CNOT,16,0,28,30,CNOT,83.6493,1/1000,AVX512
LightningOMPBinStream,CNOT,32,0,28,30,CNOT,74.1996,1/1000,AVX512
LightningOMPBinStream,CNOT,1,0,29,30,CNOT,819.151,1/1000,AVX512
LightningOMPBinStream,CNOT,4,0,29,30,CNOT,217.072,1/1000,AVX512
LightningOMPBinStream,CNOT,16,0,29,30,CNOT,83.6222,1/1000,AVX512
LightningOMPBinStream,CNOT,32,0,29,30,CNOT,74.2796,1/1000,AVX512
