IQSBin,H,1,0,30,Hadamard,2221.94,1/1000,None
IQSBin,H,4,0,30,Hadamard,578.292,1/1000,None
IQSBin,H,16,0,30,Hadamard,208.592,1/1000,None
IQSBin,H,32,0,30,Hadamard,161.176,1/1000,None
IQSBin,H,1,1,30,Hadamard,2161.44,1/1000,None
IQSBin,H,4,1,30,Hadamard,561.214,1/1000,None
IQSBin,H,16,1,30,Hadamard,205.999,1/1000,None
IQSBin,H,32,1,30,Hadamard,161.312,1/1000,None
IQSBin,H,1,2,30,Hadamard,2442.71,1/1000,None
IQSBin,H,4,2,30,Hadamard,626.174,1/1000,None
IQSBin,H,16,2,30,Hadamard,219.611,1/1000,None
IQSBin,H,32,2,30,Hadamard,166.534,1/1000,None
IQSBin,H,1,3,30,Hadamard,2370.93,1/1000,None
IQSBin,H,4,3,30,Hadamard,610.242,1/1000,None
IQSBin,H,16,3,30,Hadamard,217.416,1/1000,None
IQSBin,H,32,3,30,Hadamard,193.517,1/1000,None
IQSBin,H,1,4,30,Hadamard,2122.22,1/1000,None
IQSBin,H,4,4,30,Hadamard,552.946,1/1000,None
IQSBin,H,16,4,30,Hadamard,203.814,1/1000,None
IQSBin,H,32,4,30,Hadamard,162.557,1/1000,None
IQSBin,H,1,5,30,Hadamard,2044.3,1/1000,None
IQSBin,H,4,5,30,Hadamard,526.649,1/1000,None
IQSBin,H,16,5,30,Hadamard,199.989,1/1000,None
IQSBin,H,32,5,30,Hadamard,157.567,1/1000,None
IQSBin,H,1,6,30,Hadamard,2002.02,1/1000,None
IQSBin,H,4,6,30,Hadamard,517.013,1/1000,None
IQSBin,H,16,6,30,Hadamard,199.243,1/1000,None
IQSBin,H,32,6,30,Hadamard,159.004,1/1000,None
IQSBin,H,1,7,30,Hadamard,2162.33,1/1000,None
IQSBin,H,4,7,30,Hadamard,553.144,1/1000,None
IQSBin,H,16,7,30,Hadamard,202.325,1/1000,None
IQSBin,H,32,7,30,Hadamard,159.649,1/1000,None
IQSBin,H,1,8,30,Hadamard,1686.96,1/1000,None
IQSBin,H,4,8,30,Hadamard,443.361,1/1000,None
IQSBin,H,16,8,30,Hadamard,183.75,1/1000,None
IQSBin,H,32,8,30,Hadamard,152.075,1/1000,None
IQSBin,H,1,9,30,Hadamard,1571.13,1/1000,None
IQSBin,H,4,9,30,Hadamard,416.498,1/1000,None
IQSBin,H,16,9,30,Hadamard,179.145,1/1000,None
IQSBin,H,32,9,30,Hadamard,152.963,1/1000,None
IQSBin,H,1,10,30,Hadamard,1523.1,1/1000,None
IQSBin,H,4,10,30,Hadamard,409.389,1/1000,None
IQSBin,H,16,10,30,Hadamard,174.985,1/1000,None
IQSBin,H,32,10,30,Hadamard,154.378,1/1000,None
IQSBin,H,1,11,30,Hadamard,1529.18,1/1000,None
IQSBin,H,4,11,30,Hadamard,409.534,1/1000,None
IQSBin,H,16,11,30,Hadamard,176.454,1/1000,None
IQSBin,H,32,11,30,Hadamard,158.923,1/1000,None
IQSBin,H,1,12,30,Hadamard,1720.2,1/1000,None
IQSBin,H,4,12,30,Hadamard,455.687,1/1000,None
IQSBin,H,16,12,30,Hadamard,191.91,1/1000,None
IQSBin,H,32,12,30,Hadamard,163.371,1/1000,None
IQSBin,H,1,13,30,Hadamard,1572.4,1/1000,None
IQSBin,H,4,13,30,Hadamard,414.602,1/1000,None
IQSBin,H,16,13,30,Hadamard,181.007,1/1000,None
IQSBin,H,32,13,30,Hadamard,153.706,1/1000,None
