exec_method,slurm_job_id,num_wires,num_cut_circuits,num_params,cut_time,num_nodes,num_gpus,frag_exec_time,post_proc_t,output_val
ONDEMAND,21839125,79,45711,1453,71.78579824200006,16,64,3743.3243427519997,0.44960365800034197,1.3431767026076193e-11
ONDEMAND,21887972,79,45711,1453,72.62756408701534,1,4,61279.24541351601,0.46151848998852074,1.3431767026076193e-11
ONDEMAND,21888038,79,45711,1453,72.09662168403156,2,8,30078.956748242956,0.4497166401706636,1.3431767026076193e-11
ONDEMAND,21951689,79,45711,1453,72.10412239099969,32,128,1868.6699169349959,0.4450563940044958,1.3431767026076193e-11
ONDEMAND,21839106,79,45711,1453,72.42985790799867,4,16,15061.512189932,0.4509194199999911,1.3431767026076193e-11
ONDEMAND,21839137,79,45711,1453,72.43340666010045,64,256,945.0622716119979,0.45515481010079384,1.3431767026076175e-11
ONDEMAND,21839113,79,45711,1453,71.61689424095675,8,32,7508.549038782949,0.44008934404700994,1.3431767026076193e-11
